File,N.sentences,N.words,N.syllables,Words.Per.Sentence,Syllables.Per.Word,Grade.Score
8847.txt,48,853,1304,17.770833333333332,1.5287221570926144,9.201838120359518
12790.txt,43,632,839,14.69767441860465,1.3275316455696202,5.659989696791289
10811.txt,50,639,927,12.78,1.4507042253521127,6.384709859154931
1687.txt,46,856,1445,18.608695652173914,1.6880841121495327,11.400696871190572
12974.txt,51,654,1052,12.823529411764707,1.6085626911314985,8.263980931822271
460.txt,54,451,652,8.351851851851851,1.4456762749445675,4.642683748049603
5392.txt,52,850,1430,16.346153846153847,1.6823529411764706,10.473303167420813
1686.txt,56,803,1340,14.339285714285714,1.6687422166874222,9.550086728340155
5386.txt,36,641,1040,17.805555555555557,1.6224648985959438,10.32119691454325
1862.txt,45,443,598,9.844444444444445,1.3498871331828441,4.079557060446451
10192.txt,35,600,876,17.142857142857142,1.46,8.152285714285714
7220.txt,44,958,1448,21.772727272727273,1.511482254697286,10.519126969064338
13464.txt,37,377,502,10.18918918918919,1.3315649867374004,3.99435873539322
1679.txt,54,910,1578,16.85185185185185,1.7340659340659341,11.275681725681725
10637.txt,46,413,549,8.978260869565217,1.3292978208232447,3.5074534161490725
11529.txt,48,641,930,13.354166666666666,1.4508580343213728,6.604708138325535
12593.txt,39,465,721,11.923076923076923,1.5505376344086022,7.237113316790737
3244.txt,42,684,1098,16.285714285714285,1.605263157894737,9.540676691729328
879.txt,69,1570,2358,22.753623188405797,1.5019108280254778,10.778924582294845
5153.txt,19,469,752,24.68421052631579,1.603411513859275,12.710255863539448
8305.txt,47,904,1413,19.23404255319149,1.5630530973451326,10.162962718885336
11717.txt,42,890,1422,21.19047619047619,1.597752808988764,11.315864098448369
5621.txt,51,840,1277,16.470588235294116,1.5202380952380952,8.607633053221289
6300.txt,40,965,1553,24.125,1.6093264248704664,12.567551813471507
4517.txt,57,1362,2244,23.894736842105264,1.6475770925110131,12.931409691629955
13896.txt,38,771,1256,20.289473684210527,1.62905317769131,11.342827496757462
4503.txt,64,869,1268,13.578125,1.4591484464902187,6.787639168584583
11878.txt,50,955,1473,19.1,1.5424083769633508,9.86841884816754
10596.txt,40,890,1461,22.25,1.6415730337078651,12.235561797752812
12381.txt,64,867,1378,13.546875,1.5893886966551327,8.312599120530567
13935.txt,54,1014,1480,18.77777777777778,1.4595660749506902,8.768435239973702
9190.txt,45,863,1504,19.177777777777777,1.742757821552723,12.26209784987769
5999.txt,44,832,1300,18.90909090909091,1.5625,10.032954545454547
3330.txt,29,639,966,22.03448275862069,1.511737089201878,10.621601100858026
7156.txt,44,882,1267,20.045454545454547,1.4365079365079365,8.97806637806638
